Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
San Marino,2020,52057.13,232156.28,0
Somalia,2020,392451.4,421630.69,0
Special Cate.,2020,4289617.91,62133631.63,0
Saint Pierre and Miquelon,2020,1594.09,7046.59,0
South Sudan,2020,858271.79,896856.64,0
Sao Tome and Principe,2020,9755.57,32924.12,0
Sudan,2020,2463889.41,3262476,0
Suriname,2020,2558757.45,2816031.81,0
Slovak Republic,2020,13497211.4,19330508.62,0
Slovenia,2020,1203218.76,7372451.08,0
Sweden,2020,14083356.86,53512864.53,0
Eswatini,2020,1295182.33,1528479.41,0
Saint Maarten,2020,3651.14,14261.66,0
Seychelles,2020,35767.31,933959.1,0
Syrian Arab Republic,2020,380168.93,734675.34,0
Turks and Caicos Isl.,2020,2522.1,8282.57,0
Chad,2020,2044589.31,2086665.94,0
Togo,2020,582783.44,2540807.93,0
Thailand,2020,122694902.6,274395183.7,0
Tajikistan,2020,963158.39,1536109.75,0
Tokelau,2020,20719.89,42340.91,0
Turkmenistan,2020,937328.73,7812897.85,0
East Timor,2020,73056.05,109254.79,0
Tonga,2020,6328.38,10959.23,0
Trinidad and Tobago,2020,1730281.51,8687344.57,0
Tunisia,2020,8701280.57,24610191.72,0
Turkey,2020,91625019.4,222626708.5,0
Tuvalu,2020,202.32,1571.49,0
Tanzania,2020,3416572.02,6358300.88,0
Uganda,2020,2008219.21,3559469.57,0
Ukraine,2020,12907405.4,68706747.6,0
United States Minor Outlying I,2020,1885.98,16071.46,0
Unspecified,2020,44370268.4,106126490.3,0
Uruguay,2020,4533427.65,9485471.94,0
United States,2020,440875060.2,1404421046,8069.8
Uzbekistan,2020,13786521.48,18407864.27,0
Holy See,2020,1938.48,14407.55,0
St. Vincent and the Grenadines,2020,24084.18,119395.14,0
Venezuela,2020,4011813.3,5992041.39,0
British Virgin Islands,2020,905985.73,1016228.5,0
Vietnam,2020,114027463,377905783.1,0
Vanuatu,2020,20891.25,97212.89,0
 World,2020,5236588726,14933790848,8070.57
Wallis and Futura Isl.,2020,278.27,1767.31,0
Samoa,2020,25086.55,52034.78,0
Yemen,2020,1094980.96,1248551.89,0
South Africa,2020,50948546.94,130548346.7,0
"Congo, Dem. Rep.",2020,1408864.38,11052251.63,0
Zambia,2020,790240.15,6990815.53,0
Zimbabwe,2020,2185299.87,3259250.04,0
East Asia & Pacific,2020,1838461006,6361664348,0
Europe & Central Asia,2020,1165912773,3233120947,0.77
Latin America & Caribbean,2020,501057742.7,1100505990,0
Middle East & North Africa,2020,429336423.5,801633285.5,0
North America,2020,623084378.6,1788912555,8069.8
South Asia,2020,154740369,420476977.9,0
Sub-Saharan Africa,2020,186286446.3,372946749.1,0
Aruba,2019,39390.31,62517.82,0
Afghanistan,2019,436803.23,1460473.48,0
Angola,2019,37383284.44,42762238.19,0
Anguila,2019,25880.19,56970.58,0
Albania,2019,1278307.44,4837263.43,0
Andorra,2019,44871.83,200561.17,0
United Arab Emirates,2019,81582196.89,182197686.5,0
Argentina,2019,19459598.06,66718825.47,0
Armenia,2019,674887.11,2504204.68,0
American Samoa,2019,1998.84,28063.73,0
Antarctica,2019,430,2537.51,0
Fr. So. Ant. Tr,2019,1479.11,20201.75,0
Antigua and Barbuda,2019,102540.33,387183.99,0
Australia,2019,57046740.07,259994971.4,0
Austria,2019,16507571.1,45627491.78,0
Azerbaijan,2019,26647751.89,28165510.56,0
Br. Antr. Terr,2019,0,4.41,0
Burundi,2019,120908.22,236696.62,0
Belgium,2019,26337913.64,78625534.24,0
Benin,2019,364901.9,1103272.89,0
Bonaire,2019,57216.42,75939.5,0
Burkina Faso,2019,2850925.9,3363787.41,0
Bangladesh,2019,2394199.75,73063416.61,0
Bulgaria,2019,1693039.7,8946923.12,0
Bahrain,2019,1370693.27,10934578.91,0
"Bahamas, The",2019,80568.87,1859672.62,0
Bosnia and Herzegovina,2019,1938119.06,10301546.65,0
Saint Barth√©lemy,2019,4385.37,19275.4,0
Belarus,2019,6975191.87,28248708.8,0
Belize,2019,199412.95,424323.81,0
Bermuda,2019,938725.61,1057892.62,0
Bolivia,2019,5403851.95,8302938.74,0
Brazil,2019,103619335.9,259107987.1,0
Barbados,2019,157582.85,361119.74,0
Brunei,2019,2330425.8,5404570.4,0
Bhutan,2019,23806.1,272155.24,0
Bunkers,2019,13651.7,22553.91,0
Bouvet Island,2019,24.12,236.79,0
Botswana,2019,99174.91,5661782.79,0
Central African Republic,2019,7554.53,107988.96,0
Canada,2019,222242078.2,447303230.9,0
Cocos (Keeling) Islands,2019,1895.96,5559.37,0
Switzerland,2019,227548814.5,400040899.1,0
Chile,2019,9913698.09,75761944.08,0
China,2019,466796176.4,2796178451,0
Cote d'Ivoire,2019,2897934.57,17159565.55,0
Cameroon,2019,3877992.09,7957328.63,0
